ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: SeaTemp-2MinAvg-Message
2023-08-10T17:19:46.3757410Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1019
2023-08-10T17:19:47.4062666Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0982
2023-08-10T17:19:48.4457598Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0934
2023-08-10T17:19:49.4862507Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0942
2023-08-10T17:19:50.5167717Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.1098
2023-08-10T17:19:51.5559914Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.11
2023-08-10T17:19:52.5863348Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0966
2023-08-10T17:19:53.6266559Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0786
2023-08-10T17:19:54.6561854Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0678
2023-08-10T17:19:55.6970911Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0666
2023-08-10T17:19:56.7365822Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.056
2023-08-10T17:19:57.7671229Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0251
2023-08-10T17:19:58.8066054Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9987
2023-08-10T17:19:59.8369091Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0048
2023-08-10T17:20:00.8766458Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0169
2023-08-10T17:20:01.9071831Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9957
2023-08-10T17:20:02.9476670Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9354
2023-08-10T17:20:03.9775017Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.8932
2023-08-10T17:20:05.0078165Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9024
2023-08-10T17:20:06.0478182Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9286
2023-08-10T17:20:07.0773500Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9254
2023-08-10T17:20:08.1178373Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.8698
2023-08-10T17:20:09.1473695Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.8152
2023-08-10T17:20:10.1780736Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.799
2023-08-10T17:20:11.2175690Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.8211
2023-08-10T17:20:12.2480946Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.8633
2023-08-10T17:20:13.2879128Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9264
2023-08-10T17:20:14.3184426Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9317
2023-08-10T17:20:15.3483195Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9128
2023-08-10T17:20:16.3880352Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.894
