ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-30T07:09:29.3128458Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175824        14.8834         4.086102        33.2305        14.7920      1503.95        58.6256
2023-07-30T07:09:32.3128260Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175825        14.8840         4.086601        33.2344        14.7501      1503.82        58.5502
2023-07-30T07:09:35.3128205Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175826        14.8848         4.087099        33.2383        14.7790      1503.92        58.6021
2023-07-30T07:09:38.3135275Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175827        14.8855         4.087597        33.2423        14.7923      1503.97        58.6261
2023-07-30T07:09:41.3134987Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175828        14.8855         4.087994        33.2459        14.7972      1503.99        58.6350
2023-07-30T07:09:44.3135411Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175829        14.8855         4.088493        33.2504        14.7990      1504.00        58.6382
2023-07-30T07:09:47.3046764Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175830        14.8862         4.088890        33.2534        14.8011      1504.01        58.6420
2023-07-30T07:09:50.3049485Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175831        14.8855         4.089389        33.2585        14.8016      1504.01        58.6429
2023-07-30T07:09:53.3049248Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175832        14.8826         4.089786        33.2645        14.8020      1504.02        58.6435
2023-07-30T07:09:56.3076523Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175833        14.8812         4.090183        33.2693        14.8037      1504.03        58.6466
2023-07-30T07:09:59.3054014Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175834        14.8784         4.090581        33.2753        14.8040      1504.04        58.6472
2023-07-30T07:10:02.3055796Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175835        14.8778         4.090982        33.2796        14.8039      1504.05        58.6470
2023-07-30T07:10:05.3058462Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175836        14.8784         4.091379        33.2826        14.8033      1504.05        58.6460
2023-07-30T07:10:08.3061194Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175837        14.8798         4.091777        33.2850        14.8034      1504.05        58.6460
2023-07-30T07:10:11.3097030Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175838        14.8826         4.092174        33.2862        14.8039      1504.05        58.6471
2023-07-30T07:10:14.3070903Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175839        14.8848         4.092474        33.2871        14.8032      1504.05        58.6457
2023-07-30T07:10:17.3070757Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175840        14.8876         4.092871        33.2883        14.8028      1504.05        58.6451
2023-07-30T07:10:20.3070768Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175841        14.8890         4.093171        33.2898        14.8025      1504.05        58.6445
2023-07-30T07:10:23.3074692Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175842        14.8904         4.093467        33.2913        14.8036      1504.06        58.6465
2023-07-30T07:10:26.3074657Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      175843        14.8917         4.093767        33.2929        14.8034      1504.06        58.6462
