ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:36:01.4353782Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.65,12.5813
2023-08-27T19:36:02.4751237Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.61,12.5619
2023-08-27T19:36:03.5058974Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.59,12.5511
2023-08-27T19:36:04.5452520Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.56,12.5342
2023-08-27T19:36:05.5757756Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.5,12.4976
2023-08-27T19:36:06.6155811Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.46,12.4778
2023-08-27T19:36:07.6463429Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.45,12.4707
2023-08-27T19:36:08.6864761Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.45,12.4742
2023-08-27T19:36:09.7159845Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.46,12.475
2023-08-27T19:36:10.7564584Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.39,12.4408
2023-08-27T19:36:11.7860005Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.35,12.414
2023-08-27T19:36:12.8264888Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.29,12.3849
2023-08-27T19:36:13.8560155Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.26,12.3649
2023-08-27T19:36:14.8965842Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.23,12.351
2023-08-27T19:36:15.9267545Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.2,12.3326
2023-08-27T19:36:16.9662524Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.19,12.3274
2023-08-27T19:36:17.9967935Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.19,12.3266
2023-08-27T19:36:19.0362820Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.18,12.3228
2023-08-27T19:36:20.0671633Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.17,12.3153
2023-08-27T19:36:21.1066694Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3078
2023-08-27T19:36:22.1372037Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.2991
2023-08-27T19:36:23.1667573Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2969
2023-08-27T19:36:24.2066808Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2927
2023-08-27T19:36:25.2374458Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2877
2023-08-27T19:36:26.2675448Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2816
2023-08-27T19:36:27.3072484Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2733
2023-08-27T19:36:28.3378002Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2703
2023-08-27T19:36:29.3686408Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.08,12.2671
2023-08-27T19:36:30.4076706Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.07,12.2622
2023-08-27T19:36:31.4371985Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.2578
2023-08-27T19:36:32.4676849Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.05,12.2517
2023-08-27T19:36:33.5081898Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.04,12.2428
2023-08-27T19:36:34.5382259Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2413
2023-08-27T19:36:35.5677596Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2376
