ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-07-17T23:56:46.3675716Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9939, c1= 3.90378, s= 33.1733, sv=1497.681, t2= 12.8962
2023-07-17T23:56:47.4080627Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9939, c1= 3.90378, s= 33.1734, sv=1497.671, t2= 12.8931
2023-07-17T23:56:48.4376000Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9934, c1= 3.90370, s= 33.1730, sv=1497.671, t2= 12.8932
2023-07-17T23:56:49.4681275Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9922, c1= 3.90361, s= 33.1732, sv=1497.697, t2= 12.9009
2023-07-17T23:56:50.5076256Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9927, c1= 3.90367, s= 33.1733, sv=1497.702, t2= 12.9024
2023-07-17T23:56:51.5381591Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9933, c1= 3.90373, s= 33.1734, sv=1497.701, t2= 12.9021
2023-07-17T23:56:52.5776434Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9931, c1= 3.90367, s= 33.1730, sv=1497.695, t2= 12.9005
2023-07-17T23:56:53.6081792Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9920, c1= 3.90354, s= 33.1727, sv=1497.688, t2= 12.8984
2023-07-17T23:56:54.6377128Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9911, c1= 3.90346, s= 33.1728, sv=1497.685, t2= 12.8976
2023-07-17T23:56:55.6782019Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9902, c1= 3.90342, s= 33.1731, sv=1497.685, t2= 12.8974
2023-07-17T23:56:56.7087327Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9891, c1= 3.90329, s= 33.1729, sv=1497.690, t2= 12.8988
2023-07-17T23:56:57.7482232Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9879, c1= 3.90317, s= 33.1728, sv=1497.700, t2= 12.9019
2023-07-17T23:56:58.7787619Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9865, c1= 3.90311, s= 33.1735, sv=1497.705, t2= 12.9032
2023-07-17T23:56:59.8082933Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9868, c1= 3.90310, s= 33.1731, sv=1497.707, t2= 12.9040
2023-07-17T23:57:00.8487865Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9868, c1= 3.90313, s= 33.1735, sv=1497.711, t2= 12.9051
2023-07-17T23:57:01.8783160Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9873, c1= 3.90322, s= 33.1737, sv=1497.712, t2= 12.9051
2023-07-17T23:57:02.9088446Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9883, c1= 3.90322, s= 33.1729, sv=1497.715, t2= 12.9063
2023-07-17T23:57:03.9483375Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9878, c1= 3.90318, s= 33.1729, sv=1497.723, t2= 12.9088
2023-07-17T23:57:04.9788647Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9868, c1= 3.90308, s= 33.1729, sv=1497.724, t2= 12.9091
2023-07-17T23:57:06.0193620Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9859, c1= 3.90296, s= 33.1725, sv=1497.724, t2= 12.9094
2023-07-17T23:57:07.0488966Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9843, c1= 3.90288, s= 33.1731, sv=1497.727, t2= 12.9099
2023-07-17T23:57:08.0794293Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9845, c1= 3.90288, s= 33.1730, sv=1497.729, t2= 12.9106
2023-07-17T23:57:09.1189204Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9844, c1= 3.90293, s= 33.1736, sv=1497.734, t2= 12.9117
2023-07-17T23:57:10.1494587Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9854, c1= 3.90306, s= 33.1739, sv=1497.735, t2= 12.9119
2023-07-17T23:57:11.1889509Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9867, c1= 3.90312, s= 33.1733, sv=1497.720, t2= 12.9079
2023-07-17T23:57:12.2194729Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9872, c1= 3.90315, s= 33.1733, sv=1497.717, t2= 12.9069
2023-07-17T23:57:13.2490228Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 12.9877, c1= 3.90317, s= 33.1730, sv=1497.715, t2= 12.9064
