ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-17T21:34:28.9733996Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23083        11.8488         3.832368        33.5049        11.7962      1494.34        53.2331
2023-07-17T21:34:31.9733943Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23084        11.8518         3.832270        33.5013        11.8030      1494.36        53.2454
2023-07-17T21:34:34.9733832Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23085        11.8532         3.832270        33.5000        11.7918      1494.32        53.2253
2023-07-17T21:34:37.9743805Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23086        11.8547         3.832168        33.4977        11.7784      1494.27        53.2012
2023-07-17T21:34:40.9743658Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23087        11.8540         3.832168        33.4983        11.7686      1494.24        53.1835
2023-07-17T21:34:43.9743616Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23088        11.8540         3.832270        33.4993        11.7646      1494.22        53.1762
2023-07-17T21:34:46.9743450Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23089        11.8525         3.832270        33.5007        11.7705      1494.25        53.1869
2023-07-17T21:34:49.9745976Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23090        11.8511         3.832168        33.5010        11.7844      1494.29        53.2119
2023-07-17T21:34:52.9747939Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23091        11.8503         3.832168        33.5017        11.7727      1494.25        53.1908
2023-07-17T21:34:55.9749272Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23092        11.8503         3.832070        33.5007        11.7629      1494.22        53.1732
2023-07-17T21:34:58.9759216Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23093        11.8481         3.832070        33.5027        11.7682      1494.24        53.1828
2023-07-17T21:35:01.9759159Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23094        11.8452         3.832070        33.5053        11.7731      1494.26        53.1916
2023-07-17T21:35:04.9759020Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23095        11.8408         3.831870        33.5074        11.7673      1494.24        53.1811
2023-07-17T21:35:07.9758928Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23096        11.8349         3.831772        33.5117        11.7639      1494.24        53.1750
2023-07-17T21:35:10.9758877Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23097        11.8312         3.831572        33.5131        11.7489      1494.19        53.1480
2023-07-17T21:35:13.9669213Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       23098        11.8290         3.831176        33.5112        11.7559      1494.21        53.1607
