ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: Fluorometer-6993RTD-Message
2021-09-09T23:59:58.1772684Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1845 ::  9/09/21 15:24:11 = 0.615  (RAW)   17.9 (C)
2021-09-10T00:00:03.1777519Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1846 ::  9/09/21 15:24:16 = 0.614  (RAW)   17.9 (C)
2021-09-10T00:00:08.1779159Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1847 ::  9/09/21 15:24:21 = 0.613  (RAW)   17.9 (C)
2021-09-10T00:00:13.1782833Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1848 ::  9/09/21 15:24:26 = 0.609  (RAW)   17.9 (C)
2021-09-10T00:00:18.1785466Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1849 ::  9/09/21 15:24:31 = 0.610  (RAW)   17.9 (C)
2021-09-10T00:00:23.2487958Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1850 ::  9/09/21 15:24:36 = 0.611  (RAW)   17.9 (C)
2021-09-10T00:00:28.1890851Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1851 ::  9/09/21 15:24:41 = 0.612  (RAW)   17.9 (C)
2021-09-10T00:00:33.1992670Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1852 ::  9/09/21 15:24:46 = 0.608  (RAW)   17.9 (C)
2021-09-10T00:00:38.1991774Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1853 ::  9/09/21 15:24:51 = 0.608  (RAW)   17.9 (C)
2021-09-10T00:00:43.1995894Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1854 ::  9/09/21 15:24:56 = 0.607  (RAW)   17.9 (C)
2021-09-10T00:00:48.1997410Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1855 ::  9/09/21 15:25:01 = 0.608  (RAW)   17.9 (C)
2021-09-10T00:00:53.2598228Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1856 ::  9/09/21 15:25:06 = 0.605  (RAW)   17.9 (C)
