ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: Fluorometer-6993RTD-Message
2021-09-21T00:02:59.2750032Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1959 ::  9/20/21 15:27:01 = 1.507  (RAW)   11.4 (C)
2021-09-21T00:03:04.2652574Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1960 ::  9/20/21 15:27:06 = 1.509  (RAW)   11.4 (C)
2021-09-21T00:03:09.3252849Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1961 ::  9/20/21 15:27:11 = 1.513  (RAW)   11.4 (C)
2021-09-21T00:03:14.2548175Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1962 ::  9/20/21 15:27:16 = 1.516  (RAW)   11.4 (C)
2021-09-21T00:03:19.2551239Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1963 ::  9/20/21 15:27:21 = 1.519  (RAW)   11.4 (C)
2021-09-21T00:03:24.2562698Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1964 ::  9/20/21 15:27:26 = 1.526  (RAW)   11.4 (C)
2021-09-21T00:03:29.2459012Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1965 ::  9/20/21 15:27:31 = 1.523  (RAW)   11.4 (C)
2021-09-21T00:03:34.3058478Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1966 ::  9/20/21 15:27:36 = 1.520  (RAW)   11.4 (C)
2021-09-21T00:03:39.2964726Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1967 ::  9/20/21 15:27:41 = 1.524  (RAW)   11.4 (C)
2021-09-21T00:03:44.2361145Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1968 ::  9/20/21 15:27:46 = 1.524  (RAW)   11.4 (C)
2021-09-21T00:03:49.2860700Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1969 ::  9/20/21 15:27:51 = 1.512  (RAW)   11.4 (C)
2021-09-21T00:03:54.2763070Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1970 ::  9/20/21 15:27:56 = 1.524  (RAW)   11.4 (C)
2021-09-21T00:03:59.2774723Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1971 ::  9/20/21 15:28:01 = 1.529  (RAW)   11.4 (C)
2021-09-21T00:04:04.2667635Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1972 ::  9/20/21 15:28:06 = 1.532  (RAW)   11.4 (C)
2021-09-21T00:04:09.2669239Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1973 ::  9/20/21 15:28:11 = 1.534  (RAW)   11.4 (C)
2021-09-21T00:04:14.2670807Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1974 ::  9/20/21 15:28:16 = 1.526  (RAW)   11.4 (C)
2021-09-21T00:04:19.2672287Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1975 ::  9/20/21 15:28:21 = 1.528  (RAW)   11.4 (C)
2021-09-21T00:04:24.2574495Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1976 ::  9/20/21 15:28:26 = 1.530  (RAW)   11.4 (C)
2021-09-21T00:04:29.2500655Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1977 ::  9/20/21 15:28:31 = 1.528  (RAW)   11.4 (C)
2021-09-21T00:04:34.2483405Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1978 ::  9/20/21 15:28:36 = 1.526  (RAW)   11.4 (C)
2021-09-21T00:04:39.2988114Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1979 ::  9/20/21 15:28:41 = 1.524  (RAW)   11.4 (C)
2021-09-21T00:04:44.2390590Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1980 ::  9/20/21 15:28:46 = 1.523  (RAW)   11.4 (C)
2021-09-21T00:04:49.2892349Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1981 ::  9/20/21 15:28:51 = 1.521  (RAW)   11.4 (C)
2021-09-21T00:04:54.2893768Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1982 ::  9/20/21 15:28:56 = 1.517  (RAW)   11.4 (C)
2021-09-21T00:04:59.2796035Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1983 ::  9/20/21 15:29:01 = 1.521  (RAW)   11.4 (C)
2021-09-21T00:05:04.2798837Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1984 ::  9/20/21 15:29:06 = 1.525  (RAW)   11.4 (C)
2021-09-21T00:05:09.2694723Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1985 ::  9/20/21 15:29:11 = 1.506  (RAW)   11.4 (C)
2021-09-21T00:05:14.3300488Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1986 ::  9/20/21 15:29:16 = 1.503  (RAW)   11.4 (C)
2021-09-21T00:05:19.2702272Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1987 ::  9/20/21 15:29:21 = 1.488  (RAW)   11.4 (C)
2021-09-21T00:05:24.2703943Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1988 ::  9/20/21 15:29:26 = 1.483  (RAW)   11.4 (C)
2021-09-21T00:05:29.2607602Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1989 ::  9/20/21 15:29:31 = 1.484  (RAW)   11.4 (C)
2021-09-21T00:05:34.2605657Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1990 ::  9/20/21 15:29:36 = 1.487  (RAW)   11.4 (C)
2021-09-21T00:05:39.2512031Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1991 ::  9/20/21 15:29:41 = 1.484  (RAW)   11.4 (C)
2021-09-21T00:05:44.3112913Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1992 ::  9/20/21 15:29:46 = 1.482  (RAW)   11.4 (C)
2021-09-21T00:05:49.2510064Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1993 ::  9/20/21 15:29:51 = 1.482  (RAW)   11.4 (C)
2021-09-21T00:05:54.2513262Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1994 ::  9/20/21 15:29:56 = 1.485  (RAW)   11.4 (C)
2021-09-21T00:05:59.3012588Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1995 ::  9/20/21 15:30:01 = 1.485  (RAW)   11.4 (C)
