ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3392-Message
2021-09-25T00:00:01.2492672Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22868        16.5123         4.096351        31.9763        16.4220      1507.61        16.4220
2021-09-25T00:00:04.2700389Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22869        16.5076         4.096253        31.9793        16.4358      1507.65        16.4358
2021-09-25T00:00:07.2699297Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22870        16.5076         4.096253        31.9793        16.4196      1507.60        16.4196
2021-09-25T00:00:10.2699594Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22871        16.5068         4.096253        31.9798        16.4377      1507.66        16.4377
2021-09-25T00:00:13.2500334Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22872        16.5076         4.096253        31.9793        16.4292      1507.63        16.4292
2021-09-25T00:00:16.2701003Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22873        16.5076         4.096351        31.9801        16.4213      1507.61        16.4213
2021-09-25T00:00:19.2703886Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22874        16.5096         4.096351        31.9785        16.4222      1507.61        16.4222
2021-09-25T00:00:22.2701031Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22875        16.5130         4.096452        31.9766        16.4039      1507.55        16.4039
2021-09-25T00:00:25.2709931Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22876        16.5130         4.096752        31.9793        16.4151      1507.59        16.4151
2021-09-25T00:00:28.2509738Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22877        16.5157         4.096849        31.9779        16.4213      1507.61        16.4213
2021-09-25T00:00:31.2710014Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22878        16.5185         4.097149        31.9783        16.4337      1507.64        16.4337
2021-09-25T00:00:34.2509944Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22879        16.5198         4.097247        31.9781        16.4345      1507.65        16.4345
2021-09-25T00:00:37.2708082Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22880        16.5192         4.097149        31.9778        16.4265      1507.62        16.4265
2021-09-25T00:00:40.2511270Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22881        16.5151         4.096950        31.9793        16.4331      1507.64        16.4331
2021-09-25T00:00:43.2709468Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,       22882        16.5123         4.096752        31.9798        16.4374      1507.66        16.4374
