ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: Fluorometer-6993RTD-Message
2023-07-10T23:59:57.4576626Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9819 ::  7/10/23 15:11:00 = 1.234  (RAW)   13.5 (C)
2023-07-11T00:00:02.4582122Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9820 ::  7/10/23 15:11:05 = 1.243  (RAW)   13.5 (C)
2023-07-11T00:00:07.5285483Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9821 ::  7/10/23 15:11:10 = 1.241  (RAW)   13.5 (C)
2023-07-11T00:00:12.4786964Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9822 ::  7/10/23 15:11:15 = 1.241  (RAW)   13.5 (C)
2023-07-11T00:00:17.4799170Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9823 ::  7/10/23 15:11:20 = 1.250  (RAW)   13.5 (C)
2023-07-11T00:00:22.4802334Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9824 ::  7/10/23 15:11:25 = 1.228  (RAW)   13.5 (C)
2023-07-11T00:00:27.4905998Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9825 ::  7/10/23 15:11:30 = 1.235  (RAW)   13.5 (C)
2023-07-11T00:00:32.4909432Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9826 ::  7/10/23 15:11:35 = 1.248  (RAW)   13.5 (C)
2023-07-11T00:00:37.5609514Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9827 ::  7/10/23 15:11:40 = 1.229  (RAW)   13.5 (C)
2023-07-11T00:00:42.5114895Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9828 ::  7/10/23 15:11:45 = 1.270  (RAW)   13.5 (C)
2023-07-11T00:00:47.5118109Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9829 ::  7/10/23 15:11:50 = 1.290  (RAW)   13.5 (C)
2023-07-11T00:00:52.5121435Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9830 ::  7/10/23 15:11:55 = 1.294  (RAW)   13.6 (C)
2023-07-11T00:00:57.5124612Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9831 ::  7/10/23 15:12:00 = 1.300  (RAW)   13.6 (C)
2023-07-11T00:01:02.5127786Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9832 ::  7/10/23 15:12:05 = 1.301  (RAW)   13.6 (C)
2023-07-11T00:01:07.4633062Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9833 ::  7/10/23 15:12:10 = 1.299  (RAW)   13.7 (C)
2023-07-11T00:01:12.4636121Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9834 ::  7/10/23 15:12:15 = 1.276  (RAW)   13.6 (C)
2023-07-11T00:01:17.4639478Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9835 ::  7/10/23 15:12:20 = 1.262  (RAW)   13.6 (C)
2023-07-11T00:01:22.4742287Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9836 ::  7/10/23 15:12:25 = 1.211  (RAW)   13.5 (C)
2023-07-11T00:01:27.4739846Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9837 ::  7/10/23 15:12:30 = 1.177  (RAW)   13.4 (C)
2023-07-11T00:01:32.4945561Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9838 ::  7/10/23 15:12:35 = 1.118  (RAW)   13.3 (C)
2023-07-11T00:01:37.4950399Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9839 ::  7/10/23 15:12:40 = 1.129  (RAW)   13.2 (C)
2023-07-11T00:01:42.4958328Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9840 ::  7/10/23 15:12:45 = 1.115  (RAW)   13.1 (C)
2023-07-11T00:01:47.4956732Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9841 ::  7/10/23 15:12:50 = 1.107  (RAW)   13.1 (C)
2023-07-11T00:01:52.5064563Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9842 ::  7/10/23 15:12:55 = 1.094  (RAW)   13.1 (C)
2023-07-11T00:01:57.5060815Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9843 ::  7/10/23 15:13:00 = 1.090  (RAW)   13.0 (C)
2023-07-11T00:02:02.5168428Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9844 ::  7/10/23 15:13:05 = 1.087  (RAW)   13.0 (C)
2023-07-11T00:02:07.4671813Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9845 ::  7/10/23 15:13:10 = 1.086  (RAW)   13.0 (C)
2023-07-11T00:02:12.4675034Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9846 ::  7/10/23 15:13:15 = 1.115  (RAW)   13.0 (C)
2023-07-11T00:02:17.4682822Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9847 ::  7/10/23 15:13:20 = 1.118  (RAW)   13.0 (C)
2023-07-11T00:02:22.4780950Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9848 ::  7/10/23 15:13:25 = 1.118  (RAW)   13.0 (C)
2023-07-11T00:02:27.4649451Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9849 ::  7/10/23 15:13:30 = 1.196  (RAW)   13.1 (C)
2023-07-11T00:02:32.5354229Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9850 ::  7/10/23 15:13:35 = 1.242  (RAW)   13.2 (C)
2023-07-11T00:02:37.4851056Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9851 ::  7/10/23 15:13:40 = 1.264  (RAW)   13.3 (C)
2023-07-11T00:02:42.4856455Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9852 ::  7/10/23 15:13:45 = 1.271  (RAW)   13.4 (C)
2023-07-11T00:02:47.4864749Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9853 ::  7/10/23 15:13:50 = 1.264  (RAW)   13.4 (C)
2023-07-11T00:02:52.4868091Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9854 ::  7/10/23 15:13:55 = 1.255  (RAW)   13.5 (C)
2023-07-11T00:02:57.4864879Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9855 ::  7/10/23 15:14:00 = 1.270  (RAW)   13.5 (C)
2023-07-11T00:03:02.5474431Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9856 ::  7/10/23 15:14:05 = 1.254  (RAW)   13.5 (C)
2023-07-11T00:03:07.4972078Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9857 ::  7/10/23 15:14:10 = 1.257  (RAW)   13.5 (C)
2023-07-11T00:03:12.4975172Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9858 ::  7/10/23 15:14:15 = 1.253  (RAW)   13.5 (C)
2023-07-11T00:03:17.5078831Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  9859 ::  7/10/23 15:14:20 = 1.251  (RAW)   13.5 (C)
