ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: Fluorometer-6993RTD-Message
2023-08-10T23:59:59.6685149Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4068 ::  8/10/23 15:10:29 = 0.830  (RAW)   18.9 (C)
2023-08-11T00:00:04.6690956Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4069 ::  8/10/23 15:10:34 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:00:09.6691233Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4070 ::  8/10/23 15:10:39 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:00:14.6594927Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4071 ::  8/10/23 15:10:44 = 0.826  (RAW)   18.9 (C)
2023-08-11T00:00:19.7198496Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4072 ::  8/10/23 15:10:49 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:00:24.6531516Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4073 ::  8/10/23 15:10:54 = 0.824  (RAW)   18.9 (C)
2023-08-11T00:00:29.6505126Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4074 ::  8/10/23 15:10:59 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:00:34.6514614Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4075 ::  8/10/23 15:11:04 = 0.827  (RAW)   18.9 (C)
2023-08-11T00:00:39.6517410Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4076 ::  8/10/23 15:11:09 = 0.824  (RAW)   18.9 (C)
2023-08-11T00:00:44.6523211Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4077 ::  8/10/23 15:11:14 = 0.828  (RAW)   18.9 (C)
2023-08-11T00:00:49.7223089Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4078 ::  8/10/23 15:11:19 = 0.826  (RAW)   18.9 (C)
2023-08-11T00:00:54.6628905Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4079 ::  8/10/23 15:11:24 = 0.828  (RAW)   18.9 (C)
2023-08-11T00:00:59.6632150Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4080 ::  8/10/23 15:11:29 = 0.824  (RAW)   18.9 (C)
2023-08-11T00:01:04.6535945Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4081 ::  8/10/23 15:11:34 = 0.823  (RAW)   18.9 (C)
2023-08-11T00:01:09.6538524Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4082 ::  8/10/23 15:11:39 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:01:14.6541740Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4083 ::  8/10/23 15:11:44 = 0.827  (RAW)   18.9 (C)
2023-08-11T00:01:19.7241884Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4084 ::  8/10/23 15:11:49 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:01:24.6647445Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4085 ::  8/10/23 15:11:54 = 0.824  (RAW)   18.9 (C)
2023-08-11T00:01:29.6650549Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4086 ::  8/10/23 15:11:59 = 0.824  (RAW)   18.9 (C)
2023-08-11T00:01:34.6653821Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4087 ::  8/10/23 15:12:04 = 0.824  (RAW)   18.9 (C)
2023-08-11T00:01:39.6658022Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4088 ::  8/10/23 15:12:09 = 0.826  (RAW)   18.9 (C)
2023-08-11T00:01:44.6661191Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4089 ::  8/10/23 15:12:14 = 0.826  (RAW)   18.9 (C)
2023-08-11T00:01:49.7266392Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4090 ::  8/10/23 15:12:19 = 0.826  (RAW)   18.9 (C)
2023-08-11T00:01:54.6768105Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4091 ::  8/10/23 15:12:24 = 0.825  (RAW)   18.9 (C)
2023-08-11T00:01:59.6671310Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4092 ::  8/10/23 15:12:29 = 0.822  (RAW)   18.9 (C)
2023-08-11T00:02:04.6671349Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  4093 ::  8/10/23 15:12:34 = 0.825  (RAW)   18.9 (C)
